,Sample_3
NODE_3_length_19734_cov_16.041054,38
NODE_5_length_19218_cov_10.325950,37
NODE_7_length_17842_cov_10.775851,33
NODE_8_length_16678_cov_10.568942,24
NODE_11_length_14182_cov_9.084013,15
NODE_13_length_13871_cov_9.502755,19
NODE_17_length_11309_cov_7.253027,4
NODE_23_length_10525_cov_5.630838,6
NODE_25_length_10168_cov_6.674264,6
NODE_27_length_10132_cov_6.813923,8
NODE_37_length_8863_cov_8.722627,10
NODE_41_length_8752_cov_7.525303,18
NODE_53_length_8160_cov_8.086478,0
NODE_54_length_8151_cov_7.107134,4
NODE_61_length_7916_cov_5.860824,4
NODE_66_length_7557_cov_7.958556,11
NODE_69_length_7232_cov_4.517680,4
NODE_81_length_6995_cov_6.281295,6
NODE_87_length_6773_cov_7.590054,4
NODE_90_length_6506_cov_8.534142,2
NODE_91_length_6491_cov_5.677424,7
NODE_99_length_6321_cov_6.229821,6
NODE_104_length_6218_cov_6.150790,4
NODE_105_length_6138_cov_8.371886,6
NODE_125_length_5643_cov_6.480956,2
NODE_127_length_5632_cov_7.808821,2
NODE_131_length_5580_cov_10.103398,3
NODE_145_length_5359_cov_7.443393,12
NODE_150_length_5307_cov_4.290440,4
NODE_157_length_5244_cov_3.709890,1
NODE_160_length_5187_cov_3.934638,0
NODE_169_length_5032_cov_5.016751,4
NODE_182_length_4852_cov_4.908482,5
NODE_199_length_4565_cov_3.950089,9
NODE_203_length_4515_cov_3.661109,1
NODE_207_length_4482_cov_4.179342,0
NODE_212_length_4454_cov_4.024446,0
NODE_218_length_4357_cov_6.166355,2
NODE_223_length_4256_cov_3.845896,0
NODE_224_length_4252_cov_5.836886,0
NODE_232_length_4172_cov_4.262759,2
NODE_241_length_4092_cov_5.288667,0
NODE_277_length_3791_cov_4.661012,0
NODE_295_length_3628_cov_4.539566,0
NODE_297_length_3622_cov_5.670804,2
NODE_302_length_3559_cov_3.960368,2
NODE_308_length_3528_cov_4.700666,3
NODE_338_length_3369_cov_4.057716,2
NODE_351_length_3273_cov_3.354506,0
NODE_295_length_3681_cov_4.5395661,3343
NODE_297_length_3621_cov_5.6708041,5155
NODE_302_length_3552_cov_3.9603681,0
NODE_308_length_3528_cov_4.7006661,6123
NODE_338_length_3389_cov_4.0577161,35431
NODE_295_length_36211_cov_4.5395661,443
NODE_297_length_3524_cov_5.6708041,15334
NODE_302_length_3422_cov_3.9603681,1513
NODE_308_length_33432_cov_4.7006661,0
NODE_338_length_3355_cov_4.0577161,1535
